instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,"﻿Residence at Cass street. High Mass at 10 1/2; Vespers, 3.",﻿Corner of Wolcott and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.89600177,-87.62763549,,,,,﻿Rev.,﻿John Higginbotham,,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,"﻿Residence at Cass street. High Mass at 10 1/2; Vespers, 3.",﻿Corner of Wolcott and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.89600177,-87.62763549,,,,,﻿Rev.,﻿Williams Herbert,,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence corner of Michigan Avenue and Madison street. High Mass at 10 1/2; Vespers, 3.",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.8819264,-87.62655323,,,,﻿tha_j_butler_001,﻿Rev.,﻿Thaddeus J. Butler,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence corner of Michigan Avenue and Madison street. High Mass at 10 1/2; Vespers, 3.",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.8819264,-87.62655323,,,,﻿tho_burke_003,﻿Rev.,﻿Thomas Burke,,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0003,﻿church,﻿St. Patrick's,English,"﻿Residence, Desplain Street. High Mass at 10 1/2; Vespers, 3.","﻿Desplain street, corner of Adams",,,,﻿Chicago,﻿Chicago,﻿IL,,41.87951815,-87.64453189,,,,,﻿Rev.,﻿Dennis Dunn,,﻿V.G.,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0003,﻿church,﻿St. Patrick's,English,"﻿Residence, Desplain Street. High Mass at 10 1/2; Vespers, 3.","﻿Desplain street, corner of Adams",,,,﻿Chicago,﻿Chicago,﻿IL,,41.87951815,-87.64453189,,,,﻿joh_magan_001,﻿Rev.,﻿John Magan,,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0014,﻿church,﻿St. Louis,English,"﻿Residence, Bishop's House. High Mass at 10 1/2; Vespers, 3.",﻿Sherman street,,,,,,,,,,,,,,﻿Rev.,﻿John McMullin,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0005,﻿church,﻿St. Peter's,English,"﻿Residence, Clark Street. High Mass at 10; Vespers, 2 1/2",﻿corner of Clark and Polk streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.87223934,-87.63060513,,,,,﻿Rev.,﻿Hermann Liermann,,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0008,﻿church,﻿St. Joseph's,English,"﻿Residence at St. Mary's University. High Mass at 10; Vespers, 2 1/2",﻿corner of Cass street and Chicago avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.89671205,-87.62555666,,,,﻿j_b_mâger_001,﻿Rev.,﻿J. B. Mâger,,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0007,﻿church,﻿St. Michael's,English,"﻿Residence on Church street, adjoining the church. High Mass at 10; Vespers, 3.",﻿North Avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.91214034,-87.6409337,,,,,﻿Rev.,﻿A. Hatala,,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0011,﻿church,﻿St. Francis Assisium,English,"﻿Residence, Mather Street. High Mass at 10; Vespers, 2 1/2",﻿Corner of Mather and Clinton streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.86684589,-87.64779062,,,,﻿fer_kalvelag_001,﻿Rev.,﻿Ferdinand Kalvalage,,,,,,,,1860,﻿,﻿,﻿Chicago,Chicago
